CLASSIFIER,FALSE-P,FALSE-N,,,Average FP,Average FN
ADB,0,3,,ADB,0.6875,1.75
ADB,0,3,,DTR,1.9375,3.625
ADB,2,0,,KNN,254.875,192.0625
ADB,0,1,,RFR,0.8125,2.0625
ADB,7,2,,,,
ADB,0,8,,,,
ADB,0,1,,,,
ADB,1,5,,,,
ADB,0,1,,,,
ADB,0,1,,,,
ADB,0,1,,,,
ADB,0,1,,,,
ADB,0,0,,,,
ADB,0,0,,,,
ADB,1,1,,,,
ADB,0,0,,,,
DTR,3,2,,,,
DTR,0,3,,,,
DTR,1,4,,,,
DTR,0,2,,,,
DTR,2,2,,,,
DTR,8,14,,,,
DTR,0,1,,,,
DTR,7,7,,,,
DTR,0,1,,,,
DTR,3,6,,,,
DTR,0,1,,,,
DTR,5,4,,,,
DTR,1,1,,,,
DTR,0,0,,,,
DTR,1,3,,,,
DTR,0,7,,,,
KNN,69,127,,,,
KNN,133,189,,,,
KNN,95,35,,,,
KNN,101,26,,,,
KNN,75,153,,,,
KNN,26,269,,,,
KNN,1391,268,,,,
KNN,122,221,,,,
KNN,416,282,,,,
KNN,131,281,,,,
KNN,779,461,,,,
KNN,91,223,,,,
KNN,88,178,,,,
KNN,235,106,,,,
KNN,75,121,,,,
KNN,251,133,,,,
RFR,1,2,,,,
RFR,0,1,,,,
RFR,2,2,,,,
RFR,0,2,,,,
RFR,4,1,,,,
RFR,1,7,,,,
RFR,0,2,,,,
RFR,0,6,,,,
RFR,0,1,,,,
RFR,0,3,,,,
RFR,0,1,,,,
RFR,0,2,,,,
RFR,0,1,,,,
RFR,5,0,,,,
RFR,0,2,,,,
RFR,0,0,,,,
